PointID,Date,Observers
0,6/10/2008,PA
5,6/11/2008,ET
8,6/10/2008,PA
10,6/10/2008,PA
47,6/10/2008,ET
52,6/11/2008,MG
55,6/10/2008,MG
58,6/10/2008,ET
61,6/10/2008,MG
63,6/10/2008,ET
65,6/10/2008,MG
65,6/10/2008,MG
72,6/10/2008,MG
72,6/10/2008,MG
75,6/10/2008,MG
84,6/10/2008,MG
85,6/24/2010,WH
89,6/21/2010,WH
89,6/21/2010,WH
90,6/21/2010,WH
96,6/14/2010,CJ
97,6/15/2010,CJ
116,6/15/2010,CJ
126,6/21/2010,WH
133,6/17/2010,CJ
135,6/23/2010,WH
137,6/24/2010,WH
137,6/24/2010,WH
139,6/21/2010,WH
147,6/17/2010,CJ
154,6/21/2010,WH
155,6/16/2010,CJ
160,6/17/2010,CJ
161,6/23/2010,WH
161,6/23/2010,WH
165,6/16/2010,CJ
166,6/16/2010,CJ
171,6/15/2010,CJ
174,6/23/2010,WH
175,6/23/2010,WH
175,6/23/2010,WH
180,6/15/2010,CJ
187,6/15/2010,CJ
188,6/15/2010,CJ
202,6/16/2010,CJ
204,6/28/2010,WH
204,6/28/2010,WH
213,6/15/2010,CJ
214,6/16/2010,CJ
217,6/28/2010,WH
217,6/28/2010,WH
238,6/17/2010,CJ
240,6/28/2010,WH
240,6/28/2010,WH
246,6/22/2010,WH
246,6/22/2010,WH
250,6/17/2010,WH
260,6/22/2010,WH
260,6/22/2010,WH
260,6/22/2010,WH
260,6/22/2010,WH
260,6/22/2010,WH
268,6/25/2010,WH
268,6/25/2010,WH
283,6/24/2010,WH
296,6/25/2010,WH
296,6/25/2010,WH
300,6/15/2010,JK
301,6/15/2010,JK
302,6/15/2010,JK
311,6/25/2010,WH
317,6/15/2010,JK
325,6/23/2010,JK
325,6/23/2010,JK
333,6/16/2010,JK
338,6/18/2010,JK
339,6/18/2010,JK
341,6/18/2010,JK
343,6/24/2010,JK
346,6/22/2010,JK
348,6/24/2010,JK
348,6/24/2010,JK
357,6/22/2010,JK
358,6/22/2010,JK
358,6/22/2010,JK
359,6/22/2010,JK
360,6/16/2010,JK
362,6/24/2010,JK
369,6/22/2010,JK
369,6/22/2010,JK
369,6/22/2010,JK
376,6/21/2010,JK
376,6/22/2010,JK
376,6/21/2010,JK
377,6/21/2010,JK
379,6/21/2010,JK
379,6/21/2010,JK
382,6/17/2010,JK
402,6/16/2010,JK
403,6/16/2010,JK
404,6/16/2010,JK
404,6/16/2010,JK
406,6/17/2010,JK
419,6/17/2010,JK
421,6/17/2010,JK
422,6/16/2010,JK
423,6/16/2010,JK
428,6/17/2010,WH
433,6/16/2010,JK
433,6/16/2010,JK
457,6/16/2010,WH
460,6/25/2010,JK
464,6/17/2010,WH
478,6/23/2010,JK
479,6/23/2010,JK
483,6/16/2010,WH
487,6/16/2010,WH
492,6/29/2010,JK
492,6/29/2010,JK
501,6/17/2010,WH
501,6/17/2010,WH
501,6/17/2010,WH
502,6/16/2010,WH
504,6/15/2010,WH
504,6/15/2010,WH
504,6/15/2010,WH
512,6/17/2010,WH
512,6/17/2010,WH
515,6/15/2010,WH
517,6/15/2010,WH
518,6/29/2010,WH
521,6/28/2010,JK
529,6/15/2010,WH
533,6/28/2010,JK
533,6/28/2010,JK
533,6/28/2010,JK
540,6/15/2010,WH
547,6/15/2010,WH
548,6/15/2010,WH
581,6/14/2010,CJ
582,6/14/2010,CJ
583,6/14/2010,CJ
623,5/27/2010,CJ
623,5/27/2010,CJ
629,6/14/2010,CJ
639,5/26/2010,CJ
640,5/26/2010,CJ
650,5/26/2010,CJ
651,5/26/2010,CJ
653,5/26/2010,CJ
668,5/26/2010,CJ
669,5/26/2010,CJ
678,6/30/2010,WH
682,5/27/2010,CJ
683,5/27/2010,CJ
